Temperature,Humidity,CO2
19.8999999966472,80.3999999932945,427.000000435859
19.9,80.4,443.0
19.899999986589,80.900000013411,443.999999396503
19.7000000268221,81.0999999731779,435.000001206994
19.899999986589,81.5999999664724,441.999999530613
19.8000000033528,81.7999999932945,442.999999966472
19.8999999966472,82.1000000067055,430.00000070408
19.8000000100583,82.3000000100583,450.999997586012
19.8999999899417,82.3999999899417,427.000002413988
19.9999999966472,82.5999999932945,447.99999929592
19.9,82.9,428.0
19.8999999932945,83.100000013411,417.000002279877
19.800000013411,83.2999999731779,450.999995440246
19.8999999932945,83.499999986589,440.000000737608
19.8000000033528,83.5,423.000000569969
19.8000000033528,83.6000000033528,409.000002145767
19.9,83.7000000201166,472.999996881933
19.9,83.8999999798834,442.000003118067
19.9,84.0999999932945,413.000000972301
19.9,84.1,437.0
19.9000000067055,84.100000013411,431.999999061227
19.999999986589,84.2999999731779,418.000001877546
19.9000000067055,84.3999999932945,423.999999597669
19.9999999966472,84.4999999966472,424.0
19.9000000033528,84.6999999932945,429.000000201166
20.0,84.4999999798834,435.000001307577
20.0,84.3000000201166,447.999998692423
20.0999999966472,84.1000000067055,420.000000938773
20.0,83.8,433.0
20.2,83.2999999932945,422.00000013411
20.2,83.200000013411,423.999999731779
20.2,82.9000000201166,436.999999128282
20.1000000033528,82.3000000201166,414.000000771135
20.1999999932945,82.0999999798834,434.999999832362
20.0,81.5,429.999999597669
20.0,81.5,426.000000402331
20.1999999932945,81.2000000100583,425.000000033528
20.1,80.9,430.0
20.1999999932945,80.5,420.000000871718
20.100000013411,80.5,432.999998256564
20.1,80.5999999932945,421.000000804663
20.1999999966472,80.4000000067055,430.999999664724
20.2999999966472,80.5,425.999999731779
20.1999999798834,80.5000000301748,417.999999195337
20.0000000201166,80.7999999698252,410.000000804663
20.0999999966472,80.8,420.999999631196
20.0,80.8,419.0
20.0000000067055,80.6000000201166,425.999999597669
20.099999986589,80.8999999597669,420.000000804663
20.1,80.9999999932945,428.999999396503
20.0000000033528,81.0,426.000000100583
20.0,80.8999999966472,427.999999597669
19.9999999798834,80.7999999899417,416.000001005828
19.8000000201166,80.7000000100583,425.999998994172
19.8999999966472,80.1000000201166,428.999999899417
19.8,79.9,404.0
19.9,79.5999999932945,425.999998994172
19.9,79.5000000134111,411.000002011656
19.9999999932945,79.2000000201166,430.999998658895
19.9000000033528,79.2999999966472,416.000000502914
19.9,79.199999986589,427.000000234693
19.9,78.7999999698252,433.999998591841
19.9,78.5000000301748,420.000001408159
19.8000000033528,78.4000000033528,423.99999986589
19.8,78.6,406.0
19.7000000067055,78.5000000268221,419.999999798834
19.799999986589,78.8999999463558,417.000000402331
19.7000000067055,79.1999999798834,417.0
19.7,79.6999999832362,426.999999664724
19.7,80.400000013411,409.000000100583
19.7000000100583,80.8000000301748,412.000000905245
19.7999999899417,81.0999999698251,420.999999094755
19.8,81.499999986589,412.000000301749
19.7,81.8,432.0
19.7,82.3000000268221,424.000000402331
19.7,82.6999999463558,429.999999195337
19.7999999932945,82.9999999798834,421.000000603497
19.8,83.4999999832362,433.999999564141
19.6999999966472,84.0000000201166,423.000000335276
19.6000000201166,84.6000000201166,433.000000402331
19.7999999798834,84.7999999798834,436.999999597669
19.8999999966472,85.0999999899417,430.000000234693
19.9,85.2,426.0
19.900000013411,85.3999999731779,436.999999798834
20.0999999731779,85.0000000536442,434.000000402331
20.1999999932945,84.4000000402331,428.000000402331
20.2,84.000000013411,431.99999986589
20.4000000033528,83.2999999597669,424.000000167638
20.5000000301748,82.0999998893589,428.999998793006
20.7999999698252,81.0000001106411,417.000001206994
20.9999999932945,79.8000000402331,432.999999463558
21.3,78.7,429.0
21.5000000067055,77.4999998793006,435.000001072883
21.599999986589,75.7000002413988,450.999997854233
21.9999999731779,73.3000001609326,442.000000603497
22.0999999966472,72.3000000335276,435.000000234693
21.8999999966472,71.3999999899417,456.999999530613
21.7999999899417,71.0999999798834,443.000000502914
21.7000000100583,70.9000000201166,447.999999497086
21.4000000100583,70.6000000100583,433.000000502914
21.8,69.2,443.0
22.3000000268221,66.6999998658896,451.999998591841
22.6999999463558,64.7000002682208,431.000002816319
22.7999999932945,63.1000001072884,430.000000067055
22.9999999932945,62.6000000167638,424.000000201166
23.3000000067055,61.0999999530613,418.000000637025
23.5000000201166,59.6999999396503,436.999999698252
23.6999999798834,59.1000000603497,434.000000301748
23.6000000033528,58.6000000167638,430.00000013411
23.1,59.7,428.0
23.5000000402331,58.4999998927117,434.999998658896
24.0999999195337,56.9000002145767,415.000002682208
24.3999999798834,55.4000001005828,421.999999530613
24.1000000100583,55.4999999966472,416.000000201166
23.8000000067055,55.8999999530613,409.000000234693
23.9999999396503,54.4999999698252,415.999999396503
23.4000000603497,54.2000000301748,410.000000603497
23.8999999832362,53.1000000368804,404.000000201166
24.6,51.9,402.0
24.399999986589,51.200000154227,396.999999731779
24.2000000268221,53.499999691546,393.000000536442
24.4999999798834,52.6000000603497,395.999999798834
24.899999986589,51.0000000536442,402.999999765307
24.999999986589,50.6999999966472,409.000000201166
24.6,50.5999999094755,414.999997284264
24.6,49.7000000905245,388.000002715736
24.6999999966472,49.1000000201166,392.999999832362
24.5,49.6,402.0
24.9000000536442,48.9999998927117,397.99999986589
25.6999998927117,47.4000002145767,396.000000268221
25.9999999798834,46.2000000804663,409.999999061227
26.2999999899417,44.5000000569969,398.000000402331
26.2999999832362,43.6000000569969,394.999999798834
25.7999999597669,45.3000001609325,389.000000905245
25.4000000402331,46.8999998390675,397.999999094755
26.3999999664724,45.5000000469387,404.999999765307
26.7,43.5,398.0
25.8000000469386,47.1999998860061,391.000000469386
26.4999999061227,45.5000002279877,397.999999061227
26.5,44.9000000402331,383.000001005828
26.899999986589,45.1999999899417,392.999999664724
27.7000000100583,43.3999999765307,412.999999899417
28.000000070408,42.6999998893589,409.999998390675
28.699999929592,41.6000001106411,394.000001609325
28.8999999932945,39.9000000569969,385.000000301749
